Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
2021-09-07,425.4442138671875,426.7164246860797,424.7657033477101,426.6221815219069,51671500
2021-09-08,424.92584228515625,425.6420556917791,422.9939584275475,424.90700515933963,56181900
2021-09-09,423.1071472167969,426.49026689222916,422.8621207401383,424.7280318706646,57970400
2021-09-10,419.7710266113281,425.4723771252496,419.64851340455823,425.0483261313946,89948200
2021-09-13,420.8453674316406,423.0505478951639,418.5177025058968,422.78668432604593,83738600
2021-09-14,418.5743408203125,422.5040249391946,417.6790738700278,422.29670147486434,78197100
2021-09-15,422.07049560546875,422.569952703373,417.8863525079796,418.99834698875156,78792200
2021-09-16,421.40142822265625,422.5228269148498,418.43292687605,421.54277858226266,77786700
2021-09-17,417.2965087890625,421.04972055207907,416.93725479469646,420.6243109675202,118425000
2021-09-20,410.3384094238281,412.7207895345976,405.44125147503127,411.13253612741795,166445500
2021-09-21,409.9508056640625,413.9970868901232,409.4213878476513,412.69243982428605,92526100
2021-09-22,413.9498596191406,416.0013755919032,410.0643073507597,412.23870020664197,102350100
2021-09-23,418.97930908203125,420.59595206334643,415.59481446278045,415.83116273887947,76396000
2021-09-24,419.6694030761719,420.38791097651347,417.1168304784034,417.3342812511658,62094800
2021-09-27,418.4688720703125,419.801851132113,417.7692614632046,418.6295727623654,61371100
2021-09-28,410.0359191894531,416.01081083654464,409.2985136846678,415.67991746300174,130436300
2021-09-29,410.7261047363281,413.174669766259,410.1588630219982,411.42568650170494,82329200
2021-09-30,405.70599365234375,412.91931850140327,405.3656371464608,412.210273702846,140506000
2021-10-01,410.52752685546875,412.21978873259417,403.9003402565201,407.4455646953773,129240100
2021-10-04,405.2332763671875,410.2627452872103,403.07775259289957,409.35517606984524,128570000
2021-10-05,409.4497375488281,411.7092119458161,405.9423373960166,406.74589841121053,90682500
2021-10-06,411.15142822265625,411.35941584595423,404.1933492816089,405.8288607796688,113032200
2021-10-07,414.70611572265625,417.56119232624303,414.27124300116697,414.4508699874333,72437500
2021-10-08,413.9498596191406,415.8690355442699,413.31646232118084,415.48142086366084,74557400
2021-10-11,410.95294189453125,416.21878855170235,410.8867574511802,413.28806407914567,65233300
2021-10-12,409.94134521484375,412.2859304538344,409.1472184849697,411.87941835123945,71181200
2021-10-13,411.41619873046875,412.2386861840545,407.97498254461095,410.97186278011543,72974000
2021-10-14,418.33642578125,418.4876921318008,414.63047232052025,415.10316884682675,70236800
2021-10-15,421.5224304199219,421.8911475892967,419.8396318019155,420.4635947300898,66260200
2021-10-18,422.7703552246094,423.11068290216224,419.0644014683072,419.7261881983604,62213200
2021-10-19,426.031982421875,426.09813801544766,423.79137642429714,424.4059050519018,46996800
2021-10-20,427.705322265625,428.0078550005876,426.3817776140506,426.4952201768842,49571600
2021-10-21,428.8208923339844,429.04777746656447,426.6653970211421,427.1002698089574,41305400
2021-10-22,428.37652587890625,429.8419025254368,426.4195551964199,428.3859890424601,58845100
2021-10-25,430.673828125,431.0047214901793,427.6864112280733,429.4731892382675,45214500
2021-10-26,431.0614318847656,433.45327528530197,430.6832804131563,432.2337389531949,56075100
2021-10-27,429.1517028808594,432.19586951017413,429.07605528386125,431.5246485551164,72438000
2021-10-28,433.29254150390625,433.3681602520065,430.57926811728254,430.588702428854,51437900
2021-10-29,434.1717834472656,434.4648530017108,430.68328058191975,430.9763501363649,70162400
2021-11-01,434.9185485839844,435.54251134690287,433.17902914695463,435.1643311140303,48433600
2021-11-02,436.67706298828125,436.98905886494975,434.95644063829457,435.08880951957394,48908400
2021-11-03,439.3431091308594,439.7496212641547,435.66551590112994,436.10985183902073,52509800
2021-11-04,441.41351318359375,441.49859510381475,439.5983456655527,439.94813651016415,52847100
2021-11-05,442.9450378417969,444.94926664220156,441.4229687654718,443.6540826825688,66390600
2021-11-08,443.3231506347656,444.5521788955214,442.63303218134473,444.0511217391434,50405200
2021-11-09,441.8578186035156,443.9282317392653,440.4397289955285,443.6918834712675,51149100
2021-11-10,438.3031921386719,441.85787981414506,436.8094835724889,440.1561547381562,69429700
2021-11-11,438.4449462890625,439.8819622614729,438.42604881351787,439.8063146570788,34848500
2021-11-12,441.7538146972656,442.3115931530803,438.7663690983288,439.72122534276286,53466700
2021-11-15,441.9051208496094,443.20976803542936,440.77066636058623,443.0490673537616,46980500
2021-11-16,443.6540832519531,444.79800085155625,441.5647725301074,441.64039128539906,48857500
2021-11-17,442.57635498046875,443.5690062293373,441.95239205076814,443.38937922603975,47858300
2021-11-18,444.0794982910156,444.34420719724704,440.8746019270038,443.6162360667805,50625600
2021-11-19,443.2853698730469,445.22341412362175,442.91665272768785,443.9660251855124,57315600
2021-11-22,442.0375061035156,447.68150466992637,441.82951844516293,445.17621845643487,72762000
2021-11-23,442.6235656738281,443.4838767945243,439.0878049687893,441.7065332793372,73206500
2021-11-24,443.8053283691406,443.92823408532615,439.7874077919434,440.6098951527455,61858800
2021-11-26,433.9070739746094,438.56785505174963,432.772590709686,437.093044118014,112669600
2021-11-29,439.2296142578125,441.0825765467772,436.51634083619484,438.72855709825706,86268800
2021-11-30,430.6833190917969,438.6908005607439,430.4375076301765,436.77165354014227,148559600
2021-12-01,425.89959716796875,439.2958302661636,425.7010726926602,436.43129028942224,131939200
2021-12-02,432.4228210449219,434.00164029992874,425.71998707347524,426.1170648909681,127637800
2021-12-03,428.66015625,435.1644366060928,424.40588725877814,434.09616662767235,137331600
2021-12-06,433.7369384765625,435.627724807556,428.792521834615,431.22218919420794,98977500
2021-12-07,442.7086181640625,443.2758597154203,433.604479260636,439.04995199190506,95484700
2021-12-08,443.8808898925781,444.33468889742375,441.3377805352684,443.1056895962339,72238800
2021-12-09,440.88409423828125,443.9849825667613,440.6855697582594,442.58579034068646,61272600
2021-12-10,445.03436279296875,445.18562915930386,441.0353682278382,443.60683875331665,77159800
2021-12-13,441.09210205078125,444.8642115992194,440.808466786672,444.51442073948385,87724700
2021-12-14,438.0572814941406,440.30732142393,435.1171231471517,437.80203577353177,97264100
2021-12-15,444.9019775390625,445.14776011465756,435.5803870123886,438.11406232711835,116899300
2021-12-16,440.97857666015625,447.0479835672498,439.41865512831833,446.76437720751824,116568600
2021-12-17,436.2853088378906,440.9055435700995,434.5681380021511,437.87914216291944,135511600
2021-12-20,431.6461181640625,432.04456202640097,428.00305808891443,431.17176093106195,107134800
2021-12-21,439.31170654296875,439.45400791856366,432.90788406899264,435.0899157013606,69806300
2021-12-22,443.7042236328125,443.8180647242052,438.8562781729297,439.05552903533174,58890200
2021-12-23,446.46502685546875,447.9734793596965,444.60555463643215,444.709899328957,56439700
2021-12-27,452.78350830078125,452.83093244654975,447.8027569913504,447.8501811371189,56808600
2021-12-28,452.4134826660156,454.253991127198,451.6450262309566,453.219895788075,47274600
2021-12-29,452.9921875,454.01678637028704,451.5121952693257,452.51783027343856,54503000
